OBJECTID_1,HydroID,DrainID,Name,Descript,GlobalWshd,RELATEDOID,WarningMsg,HUCID,Edited,waterID,AverageSam,SampleCoun,areaskqm,COUNT,SUM_Averag,SHAPE_Leng,SHAPE_Area
0,2,2,21NYDECA_WQX-04031103,SS BP v1.3.4,1,,,04130002,0,210.00000000000,2.88000000000,1,53.84931968850,1.00000000000,0.97000000000,61380.01190000000,53849319.68950000000
0,2,2,21NYDECA_WQX-05032110,SS BP v1.3.4,1,,,02050104,0,194.00000000000,0.22995333333,15,1002.38887434000,3.00000000000,5.68000000000,306880.05670000000,1002388874.34000000000
0,2,2,21NYDECA_WQX-05033101,SS BP v1.3.4,1,,,02050104,0,191.00000000000,0.12700000000,8,331.87552467000,2.00000000000,0.04000000000,149220.02830000000,331875524.67100000000
0,2,2,21NYDECA_WQX-13011401,SS BP v1.3.4,1,,,02020006,0,148.00000000000,0.63962500000,8,144.76725435800,1.00000000000,0.01000000000,118940.02360000000,144767254.36100000000
0,2,2,21NYDECA_WQX-13011904,SS BP v1.3.4,1,,,02020009,0,144.00000000000,0.36060000000,10,104.78274071100,2.00000000000,0.08000000000,79980.01750000000,104782740.71000000000
0,2,2,21NYDECA_WQX-12041001,SS BP v1.3.4,1,,,02020004,0,152.00000000000,1.49500000000,10,376.68083891800,4.00000000000,3.39000000000,172140.03210000000,376680838.91700000000
0,3,3,21NYDECA_WQX-05010005,SS BP v1.3.4,1,1,,02050105,0,202.00000000000,0.46692307692,39,6493.94573864000,13.00000000000,36.49000000000,844020.16230000000,6493945738.63000000000
0,2,2,Blakeslee Hill,SS BP v1.3.4,1,,,04140201,0,85.00000000000,0.22375000000,40,87.56973285180,1.00000000000,0.03000000000,64500.01270000000,87569732.85150000000
0,2,2,21NYDECA_WQX-08010001,SS BP v1.3.4,1,,,04150101,0,58.00000000000,0.28897500000,40,4932.40748632000,18.00000000000,24.47000000000,824960.15040000000,4932407486.32000000000
0,2,2,21NYDECA_WQX-08012116,SS BP v1.3.4,1,,,04150101,0,48.00000000000,0.14232222222,9,365.14173204300,2.00000000000,0.47000000000,208080.03820000000,365141732.04000000000
0,2,2,21NYDECA_WQX-13064101,SS BP v1.3.4,1,,,02020007,0,132.00000000000,1.62400000000,10,70.65352735730,1.00000000000,0.45000000000,59680.01310000000,70653527.35900000000
0,2,2,21NYDECA_WQX-12010101,SS BP v1.3.4,1,,,02020004,0,167.00000000000,0.97601282051,39,1463.48553790000,7.00000000000,63.39000000000,399980.07220000000,1463485537.89000000000
0,2,2,21NYDECA_WQX-13064205,SS BP v1.3.4,1,,,02020007,0,131.00000000000,0.55475000000,8,119.41084656700,2.00000000000,1.43000000000,93860.01840000000,119410846.56800000000
0,3,3,21NYDECA_WQX-12010001,SS BP v1.3.4,1,1,,02020004,0,168.00000000000,0.52920000000,40,8978.59242756000,42.00000000000,141.80000000000,1353380.24840000000,8978592427.55000000000
0,2,2,21NYDECA_WQX-05033302,SS BP v1.3.4,1,,,02050104,0,190.00000000000,0.20950000000,10,151.26735638600,1.00000000000,0.98000000000,85900.01590000000,151267356.38700000000
0,2,2,21NYDECA_WQX-14041077,SS BP v1.3.4,1,,,02040101,0,115.00000000000,0.57430000000,10,41.05721550760,1.00000000000,0.70000000000,39980.00740000000,41057215.50700000000
0,2,2,21NYDECA_WQX-05032201,SS BP v1.3.4,1,,,02050104,0,192.00000000000,0.22663000000,10,777.54789277700,1.00000000000,0.04000000000,255040.04780000000,777547892.77700000000
0,2,2,21NYDECA_WQX-09021009,SS BP v1.3.4,1,,,04150306,0,43.00000000000,0.09900000000,10,2142.31635845000,3.00000000000,0.37000000000,388600.06910000000,2142316358.45000000000
0,2,2,21NYDECA_WQX-06010154,SS BP v1.3.4,1,,,02050101,0,187.00000000000,0.40043750000,16,241.08378983800,1.00000000000,0.75000000000,118920.02150000000,241083789.84000000000
0,2,2,21NYDECA_WQX-15011001,SS BP v1.3.4,1,,,02030101,0,113.00000000000,1.73977777778,9,235.59319129900,4.00000000000,6.51000000000,119880.02320000000,235593191.29700000000
0,3,3,21NYDECA_WQX-07010005,SS BP v1.3.4,1,1,,04140203,0,70.00000000000,0.54091250000,40,13182.21416010000,68.00000000000,208.15000000000,1593080.29750000000,13182214160.10000000000
0,2,2,21NYDECA_WQX-09031003,SS BP v1.3.4,1,,,04150305,0,37.00000000000,0.16490000000,10,3250.35826214000,6.00000000000,8.54000000000,872100.15360000000,3250358262.14000000000
0,2,2,Big Stream Mouth @ Glenora Point,SS BP v1.3.4,1,,,04140201,0,86.00000000000,1.12776923077,26,95.97153568390,1.00000000000,0.30000000000,72900.01460000000,95971535.68300000000
0,2,2,21NYDECA_WQX-09054107,SS BP v1.3.4,1,,,04150303,0,32.00000000000,0.05287500000,8,109.07923875000,1.00000000000,0.04000000000,100100.01900000000,109079238.75300000000
0,2,2,21NYDECA_WQX-08011201,SS BP v1.3.4,1,,,04150101,0,55.00000000000,0.16038888889,9,844.13460453400,2.00000000000,0.09000000000,320480.05830000000,844134604.53500000000
0,2,2,21NYDECA_WQX-04031701,SS BP v1.3.4,1,,,04130002,0,207.00000000000,0.18960000000,10,151.55545659900,1.00000000000,0.29000000000,87100.01600000000,151555456.60000000000
0,3,3,21NYDECA_WQX-09051001,SS BP v1.3.4,1,1,,04150302,0,33.00000000000,0.19920000000,10,4173.13008921000,13.00000000000,4.96000000000,706500.12940000000,4173130089.21000000000
