Name,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_C,MAJORITY_P,MINORITY,MINORITY_C,MINORITY_P,MEDIAN,PCT90
21NYDECA_WQX-11041203B,1,4450.00000000000,5283054.77281000000,81,81,0,81.00000000000,0.00000000000,360450.00000000000,1,81,4450,0.38980000000,81,4450,0.38980000000,81,81
21NYDECA_WQX-11040247,2,993.00000000000,1178892.89650000000,81,81,0,81.00000000000,0.00000000000,80433.00000000000,1,81,993,0.06530000000,81,993,0.06530000000,81,81
21NYDECA_WQX-11031011,3,11.00000000000,13059.23651710000,81,81,0,81.00000000000,0.00000000000,891.00000000000,1,81,11,5.72920000000,81,11,5.72920000000,81,81
21NYDECA_WQX-11022301,4,10156.00000000000,12057236.91520000000,81,81,0,81.00000000000,0.00000000000,822636.00000000000,1,81,10156,6.21430000000,81,10156,6.21430000000,81,81
21NYDECA_WQX-11011204,5,53654.00000000000,63698206.91700000000,81,81,0,81.00000000000,0.00000000000,4345974.00000000000,1,81,53654,10.24310000000,81,53654,10.24310000000,81,81
21NYDECA_WQX-11011101,6,18693.00000000000,22192391.65580000000,81,81,0,81.00000000000,0.00000000000,1514133.00000000000,1,81,18693,13.82010000000,81,18693,13.82010000000,81,81
21NYDECA_WQX-11010215,7,36746.00000000000,43624973.18690000000,81,81,0,81.00000000000,0.00000000000,2976426.00000000000,1,81,36746,0.67620000000,81,36746,0.67620000000,81,81
21NYDECA_WQX-11010157,8,636455.00000000000,755601488.86100000000,81,81,0,81.00000000000,0.00000000000,51552855.00000000000,1,81,636455,6.70360000000,81,636455,6.70360000000,81,81
21NYDECA_WQX-10054100,9,715.00000000000,848850.37360900000,81,81,0,81.00000000000,0.00000000000,57915.00000000000,1,81,715,1.75750000000,81,715,1.75750000000,81,81
21NYDECA_WQX-10053205,10,10205.00000000000,12115409.87790000000,81,81,0,81.00000000000,0.00000000000,826605.00000000000,1,81,10205,25.95900000000,81,10205,25.95900000000,81,81
21NYDECA_WQX-10053201,11,24719.00000000000,29346478.86050000000,81,81,0,81.00000000000,0.00000000000,2002239.00000000000,1,81,24719,33.92390000000,81,24719,33.92390000000,81,81
21NYDECA_WQX-10052204,12,100519.00000000000,119336490.49600000000,81,81,0,81.00000000000,0.00000000000,8142039.00000000000,1,81,100519,25.29050000000,81,100519,25.29050000000,81,81
21NYDECA_WQX-10052105,13,3102.00000000000,3682704.69781000000,81,81,0,81.00000000000,0.00000000000,251262.00000000000,1,81,3102,31.23870000000,81,3102,31.23870000000,81,81
21NYDECA_WQX-10052104,14,2004.00000000000,2379155.45275000000,81,81,0,81.00000000000,0.00000000000,162324.00000000000,1,81,2004,5.21200000000,81,2004,5.21200000000,81,81
21NYDECA_WQX-10051802,15,4602.00000000000,5463509.67741000000,81,81,0,81.00000000000,0.00000000000,372762.00000000000,1,81,4602,28.26610000000,81,4602,28.26610000000,81,81
21NYDECA_WQX-10051702,16,969.00000000000,1150400.01682000000,81,81,0,81.00000000000,0.00000000000,78489.00000000000,1,81,969,5.97340000000,81,969,5.97340000000,81,81
21NYDECA_WQX-10051600,17,194672.00000000000,231115244.65900000000,81,81,0,81.00000000000,0.00000000000,15768432.00000000000,1,81,194672,21.10780000000,81,194672,21.10780000000,81,81
21NYDECA_WQX-10051113,18,68.00000000000,80729.82574190000,81,81,0,81.00000000000,0.00000000000,5508.00000000000,1,81,68,0.21190000000,81,68,0.21190000000,81,81
21NYDECA_WQX-10042516,19,898.00000000000,1066108.58112000000,81,81,0,81.00000000000,0.00000000000,72738.00000000000,1,81,898,0.65360000000,81,898,0.65360000000,81,81
21NYDECA_WQX-10042401,20,570.00000000000,676705.89224800000,81,81,0,81.00000000000,0.00000000000,46170.00000000000,1,81,570,0.99790000000,81,570,0.99790000000,81,81
21NYDECA_WQX-10041230,21,697.00000000000,827480.71385400000,81,81,0,81.00000000000,0.00000000000,56457.00000000000,1,81,697,0.46390000000,81,697,0.46390000000,81,81
21NYDECA_WQX-10041102,22,22472.00000000000,26678833.00100000000,81,81,0,81.00000000000,0.00000000000,1820232.00000000000,1,81,22472,2.32000000000,81,22472,2.32000000000,81,81
21NYDECA_WQX-10032101,24,3128.00000000000,3713571.98413000000,81,81,0,81.00000000000,0.00000000000,253368.00000000000,1,81,3128,2.58760000000,81,3128,2.58760000000,81,81
21NYDECA_WQX-10031001,25,32552.00000000000,38645842.46400000000,81,81,0,81.00000000000,0.00000000000,2636712.00000000000,1,81,32552,2.46430000000,81,32552,2.46430000000,81,81
21NYDECA_WQX-10022300,26,41104.00000000000,48798805.25430000000,81,81,0,81.00000000000,0.00000000000,3329424.00000000000,1,81,41104,18.90010000000,81,41104,18.90010000000,81,81
21NYDECA_WQX-10021030,27,5643.00000000000,6699388.33325000000,81,81,0,81.00000000000,0.00000000000,457083.00000000000,1,81,5643,3.21420000000,81,5643,3.21420000000,81,81
21NYDECA_WQX-10021028,28,6351.00000000000,7539928.28363000000,81,81,0,81.00000000000,0.00000000000,514431.00000000000,1,81,6351,3.40240000000,81,6351,3.40240000000,81,81
21NYDECA_WQX-09065102,30,3224.00000000000,3827543.50282000000,81,81,0,81.00000000000,0.00000000000,261144.00000000000,1,81,3224,7.72590000000,81,3224,7.72590000000,81,81
21NYDECA_WQX-09054107,31,23631.00000000000,28054801.64860000000,81,81,0,81.00000000000,0.00000000000,1914111.00000000000,1,81,23631,25.70820000000,81,23631,25.70820000000,81,81
