Name,sepden_km2,AREA,PERCENTAGE
21NYDECA_WQX-01021067,8.18230000000,12259893.68140000000,32.40279525960
21NYDECA_WQX-01021067,9.25760000000,1502752.20520000000,3.97176136240
21NYDECA_WQX-01021067,9.43880000000,24073267.90740000000,63.62544337690
21NYDECA_WQX-01021103,0.62780000000,838952.73113000000,0.18755608231
21NYDECA_WQX-01021103,0.67450000000,1953266.15879000000,0.43667173948
21NYDECA_WQX-01021103,0.76040000000,1313967.28759000000,0.29375022882
21NYDECA_WQX-01021103,1.13480000000,1266742.77780000000,0.28319272812
21NYDECA_WQX-01021103,1.48170000000,2499285.83008000000,0.55873977337
21NYDECA_WQX-01021103,1.78610000000,350697.69492700000,0.07840189714
21NYDECA_WQX-01021103,6.69230000000,93397439.74810000000,20.87991044870
21NYDECA_WQX-01021103,6.79330000000,43104011.88150000000,9.63632312077
21NYDECA_WQX-01021103,7.18340000000,44975255.89090000000,10.05465800710
21NYDECA_WQX-01021103,7.58780000000,1348004.27986000000,0.30135953110
21NYDECA_WQX-01021103,8.05880000000,66393197.10500000000,14.84284808770
21NYDECA_WQX-01021103,8.18230000000,90975071.69450000000,20.33836639600
21NYDECA_WQX-01021103,9.25760000000,15526981.31030000000,3.47120842040
21NYDECA_WQX-01021103,9.27130000000,23252833.66380000000,5.19839822042
21NYDECA_WQX-01021103,9.43880000000,24073267.90740000000,5.38181431386
21NYDECA_WQX-01021103,13.03650000000,26251411.22190000000,5.86875953928
21NYDECA_WQX-01021103,13.42470000000,9787277.17599000000,2.18804146583
21NYDECA_WQX-01031002,0.00000000000,29783849.35530000000,2.68130804840
21NYDECA_WQX-01031002,0.06200000000,243140.89645400000,0.02188889807
21NYDECA_WQX-01031002,0.13230000000,302157.04724800000,0.02720186075
21NYDECA_WQX-01031002,0.23720000000,1941401.41276000000,0.17477577096
21NYDECA_WQX-01031002,0.23870000000,7574620.87037000000,0.68190956988
21NYDECA_WQX-01031002,0.24350000000,2940223.28653000000,0.26469528059
21NYDECA_WQX-01031002,0.24380000000,4108119.86505000000,0.36983583709
21NYDECA_WQX-01031002,0.29960000000,3342411.57606000000,0.30090251106
21NYDECA_WQX-01031002,0.33910000000,195218.09365300000,0.01757462037
21NYDECA_WQX-01031002,0.33980000000,4151106.19934000000,0.37370570638
21NYDECA_WQX-01031002,0.35100000000,1837812.92375000000,0.16545015808
21NYDECA_WQX-01031002,0.47040000000,2128962.36396000000,0.19166105271
21NYDECA_WQX-01031002,0.64910000000,3085865.19611000000,0.27780677668
21NYDECA_WQX-01031002,0.73060000000,3037995.22287000000,0.27349725500
21NYDECA_WQX-01031002,0.79140000000,3365217.20139000000,0.30295560050
21NYDECA_WQX-01031002,0.79960000000,97760.28626810000,0.00880092560
21NYDECA_WQX-01031002,0.90410000000,1107750.05054000000,0.09972583096
21NYDECA_WQX-01031002,0.93790000000,3290698.35657000000,0.29624699894
21NYDECA_WQX-01031002,0.99000000000,2039537.79367000000,0.18361055470
21NYDECA_WQX-01031002,1.42040000000,4144.94275803000,0.00037315084
21NYDECA_WQX-01031002,2.00960000000,1793907.31691000000,0.16149753074
21NYDECA_WQX-01031002,2.17270000000,3226610.66101000000,0.29047746754
21NYDECA_WQX-01031002,2.33670000000,2142832.25182000000,0.19290969729
21NYDECA_WQX-01031002,2.46840000000,5366485.17576000000,0.48312089286
21NYDECA_WQX-01031002,2.62630000000,6523466.97032000000,0.58727883969
21NYDECA_WQX-01031002,3.60220000000,2780136.70546000000,0.25028339470
21NYDECA_WQX-01031002,5.70060000000,6724130.60473000000,0.60534369799
21NYDECA_WQX-01031002,7.15540000000,14014713.34230000000,1.26168257274
21NYDECA_WQX-01031002,7.63310000000,9739828.14810000000,0.87683359166
21NYDECA_WQX-01031002,7.92800000000,3070509.39814000000,0.27642436220
21NYDECA_WQX-01031002,8.05880000000,2663555.11203000000,0.23978807017
21NYDECA_WQX-01031002,8.18230000000,91397648.88510000000,8.22812554003
21NYDECA_WQX-01031002,8.38320000000,2747803.41759000000,0.24737257200
21NYDECA_WQX-01031002,9.21280000000,15676337.83550000000,1.41127126673
21NYDECA_WQX-01031002,9.25760000000,84389922.77380000000,7.59725099459
21NYDECA_WQX-01031002,9.27130000000,107692657.96800000000,9.69509303917
21NYDECA_WQX-01031002,9.75740000000,48098857.86380000000,4.33012714947
21NYDECA_WQX-01031002,10.88860000000,1563581.72231000000,0.14076233755
21NYDECA_WQX-01031002,11.25190000000,92906122.16350000000,8.36392670844
21NYDECA_WQX-01031002,12.30320000000,8925905.80625000000,0.80355976798
21NYDECA_WQX-01031002,12.81330000000,92415725.85660000000,8.31977850083
21NYDECA_WQX-01031002,14.85560000000,89548161.10830000000,8.06162434664
21NYDECA_WQX-01031002,16.28770000000,1828966.84937000000,0.16465378518
21NYDECA_WQX-01031002,16.63170000000,4997632.10424000000,0.44991468444
21NYDECA_WQX-01031002,17.41980000000,8784672.15449000000,0.79084512782
21NYDECA_WQX-01031002,22.38380000000,2459915.65159000000,0.22145531145
21NYDECA_WQX-01031002,24.13170000000,23757740.71280000000,2.13880417622
21NYDECA_WQX-01031002,24.48110000000,71425097.91020000000,6.43008523176
21NYDECA_WQX-01031002,27.47660000000,20562719.71830000000,1.85117058645
21NYDECA_WQX-01031002,30.35840000000,82514230.14830000000,7.42839069474
21NYDECA_WQX-01031002,30.85060000000,32461139.23750000000,2.92233259910
21NYDECA_WQX-01031002,39.85570000000,4515978.30923000000,0.40655352646
21NYDECA_WQX-01031002,50.12590000000,44670732.18730000000,4.02150817757
