huc12,Name,AREA,PERCENTAGE
011000050101,21NYDECA_WQX-11010157,185706.58703100000,0.11873265300
011000050101,USGS-01372058,803590.93606100000,0.51378082648
011000050102,21NYDECA_WQX-11010157,84176.81275150000,0.15105781074
011000050102,USGS-01372058,84291.57831710000,0.15126376098
011000050103,21NYDECA_WQX-11010157,216890.82753900000,0.16944106220
011000050103,USGS-01372058,216933.65808300000,0.16947452260
011000050201,21NYDECA_WQX-13013110,16473.91266120000,0.01440696017
011000050201,21NYDECA_WQX-13103202,1454.34496122000,0.00127187089
011000050201,21NYDECA_WQX-16011112,12422.75407040000,0.01086409323
011000050201,USGS-01372058,30139.43382150000,0.02635789272
011000050202,21NYDECA_WQX-13103202,48927.78385580000,0.03550989028
011000050202,21NYDECA_WQX-16011112,31171881.66600000000,22.62334425520
011000050202,USGS-01372058,99212.27957090000,0.07200442948
011000050203,USGS-01372058,295797.20341400000,0.22795954242
011000050305,USGS-01372058,13695.27505480000,0.01391361016
011000050501,21NYDECA_WQX-16012102,54192.55599350000,0.06078301578
011000050501,USGS-01372058,163265.30380200000,0.18312030786
011000050503,21NYDECA_WQX-16012102,77091.66526200000,0.09805300010
011000050504,21NYDECA_WQX-13051002,3574582.69335000000,3.69029856683
011000050504,21NYDECA_WQX-16012102,90523074.97950000000,93.45347485810
011000050504,USGS-01372058,74373.55334060000,0.07678116324
011000050505,21NYDECA_WQX-13051002,2730.95240968000,0.00220699776
011000050505,21NYDECA_WQX-16012100,123430414.59100000000,99.74932101780
011000050505,USGS-413544073390401,4151.24656967000,0.00335479734
011000050505,USGS-413551073343101,298819.58793900000,0.24148870522
011000050505,USGS-413806073324701,362.22397586500,0.00029272846
011000050506,21NYDECA_WQX-13051002,33023.72480410000,0.03030237017
011000050506,21NYDECA_WQX-16012100,148527.24083100000,0.13628769799
011000050506,21NYDECA_WQX-16012102,82588.89346980000,0.07578306920
011000050506,USGS-413551073343101,1880.48406057000,0.00172552080
011000050506,USGS-413806073324701,320437.92052400000,0.29403189808
011000050601,21NYDECA_WQX-16012100,32.42608344580,0.00003090620
011000060401,USGS-01374890,9365.09546296000,0.00970080864
011000060403,21NYDECA_WQX-17025100,5690.64505865000,0.00735167381
020200010101,21NYDECA_WQX-09031003,16508.70159610000,0.02075799652
020200010101,21NYDECA_WQX-09031081,16508.70159610000,0.02075799652
020200010101,21NYDECA_WQX-10041102,9602.81778711000,0.01207455699
020200010101,21NYDECA_WQX-11010157,79494009.28440000000,99.95555121740
020200010101,21NYDECA_WQX-11010215,79494009.28440000000,99.95555121740
020200010101,21NYDECA_WQX-11040247,79494002.61990000000,99.95554283750
020200010101,USGS-01311830,73607644.71820000000,92.55405241040
020200010101,USGS-0131184703,44644159.96600000000,56.13544540290
020200010101,USGS-0131185005,44644959.96600000000,56.13645132070
020200010101,USGS-0131185008,44651759.97750000000,56.14500163670
020200010101,USGS-01311940,79477405.21850000000,99.93467331010
020200010101,USGS-01311951,79477426.22720000000,99.93469972630
020200010101,USGS-01312000,79494002.61990000000,99.95554283750
020200010101,USGS-01315500,79494002.61990000000,99.95554283750
020200010101,USGS-01372058,79494009.28440000000,99.95555121740
020200010101,USGS-04268000,16508.70159610000,0.02075799652
020200010101,USGS-04268320,16508.70159610000,0.02075799652
020200010101,USGS-435757074030101,79477426.22720000000,99.93469972630
020200010101,USGS-435808074065801,79494002.61990000000,99.95554283750
020200010101,USGS-440403074021901,905.86146898200,0.00113902775
020200010101,USGS-440455074014401,125015.03321900000,0.15719356299
020200010101,USGS-441058073591701,9602.81778711000,0.01207455699
020200010102,21NYDECA_WQX-10041102,37002.73172460000,0.04423811462
020200010102,21NYDECA_WQX-10042516,28183.40216810000,0.03369428465
020200010102,21NYDECA_WQX-11010157,83585383.59230000000,99.92937297420
020200010102,21NYDECA_WQX-11010215,83585383.59230000000,99.92937297420
020200010102,21NYDECA_WQX-11040247,83585490.89820000000,99.92950126220
020200010102,USGS-01311830,19979.85610800000,0.02388664629
020200010102,USGS-01311888,1295746.34526000000,1.54911198885
020200010102,USGS-01311893,6728001.52721000000,8.04357107772
020200010102,USGS-01311940,83573274.92290000000,99.91489661840
020200010102,USGS-01311951,83578721.11980000000,99.92140774550
020200010102,USGS-01312000,83578721.11980000000,99.92140774550
020200010102,USGS-01315500,83585490.89820000000,99.92950126220
020200010102,USGS-01372058,83585383.59230000000,99.92937297420
020200010102,USGS-04273808,7362.89243382000,0.00880260630
020200010102,USGS-435757074030101,83578721.11980000000,99.92140774550
020200010102,USGS-435808074065801,83578721.11980000000,99.92140774550
020200010102,USGS-440141074015301,2125217.37591000000,2.54077484221
020200010102,USGS-440151074015501,1453989.02199000000,1.73829687721
020200010102,USGS-440403074021901,574294.36153100000,0.68658984363
020200010102,USGS-440455074014401,484.98878150500,0.00057982177
020200010102,USGS-440738073591201,1305319.94790000000,1.56055757978
020200010102,USGS-440813073573301,66142.34220630000,0.07907558116
020200010102,USGS-441058073591701,1456.43712268000,0.00174122367
020200010103,21NYDECA_WQX-09031003,102239.35086300000,0.15598736599
020200010103,21NYDECA_WQX-09031081,102239.35086300000,0.15598736599
020200010103,21NYDECA_WQX-11010157,65441127.02810000000,99.84403212840
020200010103,21NYDECA_WQX-11010215,65441127.02810000000,99.84403212840
020200010103,21NYDECA_WQX-11040247,65441153.82030000000,99.84407300560
020200010103,USGS-01311985,15695749.36660000000,23.94712583980
020200010103,USGS-01311989,24781157.48440000000,37.80880306340
020200010103,USGS-01311990,27220458.34390000000,41.53046319440
