HydroID,DrainID,Name,Descript,GlobalWshd,RELATEDOID,WarningMsg,HUCID,Edited,Shape_Leng,Shape_Area,waterID,AverageSam,SampleCoun,areaskqm
2,2,21NYDECA_WQX-01033101,SS BP v1.3.4,1,,,04120103,0,96100.01900100000,145199453.69300000000,245.00000000000,0.88370000000,10,145.19945369300
2,2,21NYDECA_WQX-01031002,SS BP v1.3.4,1,,,04120103,0,259120.04800600000,1110795507.93000000000,246.00000000000,0.37441250000,40,1110.79550793000
2,2,21NYDECA_WQX-01021103,SS BP v1.3.4,1,,,04120104,0,203860.04009800000,447307664.35800000000,247.00000000000,0.76360000000,10,447.30766435800
2,2,21NYDECA_WQX-01021067,SS BP v1.3.4,1,,,04120104,0,45720.00849910000,37835913.79440000000,248.00000000000,1.16320000000,10,37.83591379440
2,2,USGS-440910074533001,SS BP v1.3.4,1,,,04150302,0,3440.00059939000,400500.17752400000,249.00000000000,0.30090000000,10,0.40050017752
2,2,USGS-440908074272601,SS BP v1.3.4,1,,,04150305,0,5700.00119877000,850900.29470400000,250.00000000000,0.22233333333,3,0.85090029470
2,2,USGS-440908073444901,SS BP v1.3.4,1,,,02010004,0,4980.00089931000,692800.22611600000,251.00000000000,0.10833333333,3,0.69280022612
2,2,USGS-440900074305901,SS BP v1.3.4,1,,,04150305,0,100.00000000000,400.00000000000,252.00000000000,0.20100000000,2,0.00040000000
2,2,USGS-440900073555301,SS BP v1.3.4,1,,,02010004,0,8620.00200081000,2972801.12231000000,253.00000000000,0.18300000000,10,2.97280112231
2,2,USGS-440859075065901,SS BP v1.3.4,1,,,04150302,0,9340.00189972000,2197100.81164000000,254.00000000000,0.27661904762,14,2.19710081164
2,2,USGS-440849074571101,SS BP v1.3.4,1,,,04150302,0,10260.00169900000,2626800.92539000000,255.00000000000,0.15150000000,4,2.62680092539
2,2,USGS-440846074533101,SS BP v1.3.4,1,,,04150302,0,6240.00119782000,971200.33551200000,256.00000000000,0.15740000000,5,0.97120033551
2,2,USGS-440841073475901,SS BP v1.3.4,1,,,02010004,0,6380.00110006000,1179000.40345000000,257.00000000000,0.10533333333,3,1.17900040345
2,2,USGS-440821073381401,SS BP v1.3.4,1,,,02010008,0,13160.00229930000,3995201.50372000000,258.00000000000,0.00933333333,3,3.99520150372
2,2,USGS-440813073573301,SS BP v1.3.4,1,,,02020001,0,1800.00000000000,66400.00000000000,259.00000000000,0.28466666667,9,0.06640000000
2,2,USGS-440759073442801,SS BP v1.3.4,1,,,02010008,0,2900.00039959000,299400.11689200000,260.00000000000,0.02483333333,6,0.29940011689
2,2,USGS-440754075064901,SS BP v1.3.4,1,,,04150302,0,3820.00039911000,445400.11683700000,261.00000000000,0.27450000000,4,0.44540011684
2,2,USGS-440752075152001,SS BP v1.3.4,1,,,04150302,0,9640.00160074000,1450300.55516000000,262.00000000000,0.07560000000,5,1.45030055516
2,2,USGS-440750074262301,SS BP v1.3.4,1,,,04150305,0,5660.00079918000,798900.25756400000,263.00000000000,0.33850000000,2,0.79890025756
2,2,USGS-440742073391001,SS BP v1.3.4,1,,,02010008,0,11680.00190070000,3034301.05369000000,264.00000000000,0.13687500000,8,3.03430105369
2,2,USGS-440738073591201,SS BP v1.3.4,1,,,02020001,0,6980.00130081000,1327700.44474000000,265.00000000000,0.29420000000,10,1.32770044474
2,2,USGS-440730074292201,SS BP v1.3.4,1,,,04150305,0,6360.00129938000,1167100.46793000000,266.00000000000,0.38600000000,2,1.16710046793
2,2,USGS-440729075143701,SS BP v1.3.4,1,,,04150302,0,2760.00039959000,202800.08291200000,267.00000000000,0.02425000000,4,0.20280008291
2,2,USGS-440714073502701,SS BP v1.3.4,1,,,02010004,0,6680.00119972000,1708100.58903000000,268.00000000000,0.05320000000,5,1.70810058903
2,2,USGS-440711075171501,SS BP v1.3.4,1,,,04150302,0,5840.00080109000,668800.26335700000,269.00000000000,0.57425000000,4,0.66880026336
2,2,USGS-440710075173501,SS BP v1.3.4,1,,,04150302,0,3120.00060082000,269600.10464200000,270.00000000000,0.51681818182,11,0.26960010464
2,2,USGS-440705075141901,SS BP v1.3.4,1,,,04150302,0,5860.00070095000,640800.24683500000,271.00000000000,0.31641666667,12,0.64080024684
2,2,USGS-440703073345901,SS BP v1.3.4,1,,,02010008,0,5100.00069952000,870100.30093400000,272.00000000000,0.03200000000,1,0.87010030093
2,2,USGS-440701075192101,SS BP v1.3.4,1,,,04150302,0,2080.00030041000,168400.07460100000,273.00000000000,0.19660000000,5,0.16840007460
2,2,USGS-440657075191301,SS BP v1.3.4,1,,,04150302,0,2520.00070000000,227000.10136100000,274.00000000000,0.28575000000,4,0.22700010136
