Name,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_C,MAJORITY_P,MINORITY,MINORITY_C,MINORITY_P,MEDIAN,PCT90
21NYDECA_WQX-11041203B,1,51.00000000000,60547.36930640000,82,82,0,82.00000000000,0.00000000000,4182.00000000000,1,82,51,0.00970000000,82,51,0.00970000000,82,82
21NYDECA_WQX-11040247,2,1.00000000000,1187.20331973000,82,82,0,82.00000000000,0.00000000000,82.00000000000,1,82,1,0.00360000000,82,1,0.00360000000,82,82
21NYDECA_WQX-11031011,3,73.00000000000,86665.84234050000,82,82,0,82.00000000000,0.00000000000,5986.00000000000,1,82,73,38.02080000000,82,73,38.02080000000,82,82
21NYDECA_WQX-11022301,4,898.00000000000,1066108.58112000000,82,82,0,82.00000000000,0.00000000000,73636.00000000000,1,82,898,0.54950000000,82,898,0.54950000000,82,82
21NYDECA_WQX-11011204,5,14650.00000000000,17392528.63410000000,82,82,0,82.00000000000,0.00000000000,1201300.00000000000,1,82,14650,2.79680000000,82,14650,2.79680000000,82,82
21NYDECA_WQX-11011101,6,1709.00000000000,2028930.47342000000,82,82,0,82.00000000000,0.00000000000,140138.00000000000,1,82,1709,1.26820000000,82,1709,1.26820000000,82,82
21NYDECA_WQX-11010215,7,1784.00000000000,2117970.72240000000,82,82,0,82.00000000000,0.00000000000,146288.00000000000,1,82,1784,0.07530000000,82,1784,0.07530000000,82,82
21NYDECA_WQX-11010157,8,181067.00000000000,214963343.49400000000,82,82,0,82.00000000000,0.00000000000,14847494.00000000000,1,82,181067,2.81610000000,82,181067,2.81610000000,82,82
21NYDECA_WQX-10054100,9,103.00000000000,122281.94193300000,82,82,0,82.00000000000,0.00000000000,8446.00000000000,1,82,103,0.25320000000,82,103,0.25320000000,82,82
21NYDECA_WQX-10053205,10,954.00000000000,1132591.96703000000,82,82,0,82.00000000000,0.00000000000,78228.00000000000,1,82,954,2.42670000000,82,954,2.42670000000,82,82
21NYDECA_WQX-10053201,11,3578.00000000000,4247813.47801000000,82,82,0,82.00000000000,0.00000000000,293396.00000000000,1,82,3578,4.91040000000,82,3578,4.91040000000,82,82
21NYDECA_WQX-10052204,12,16111.00000000000,19127032.68420000000,82,82,0,82.00000000000,0.00000000000,1321102.00000000000,1,82,16111,4.05350000000,82,16111,4.05350000000,82,82
21NYDECA_WQX-10052105,13,125.00000000000,148400.41496700000,82,82,0,82.00000000000,0.00000000000,10250.00000000000,1,82,125,1.25880000000,82,125,1.25880000000,82,82
21NYDECA_WQX-10052104,14,224.00000000000,265933.54362000000,82,82,0,82.00000000000,0.00000000000,18368.00000000000,1,82,224,0.58260000000,82,224,0.58260000000,82,82
21NYDECA_WQX-10051802,15,436.00000000000,517620.64740400000,82,82,0,82.00000000000,0.00000000000,35752.00000000000,1,82,436,2.67800000000,82,436,2.67800000000,82,82
21NYDECA_WQX-10051600,17,26931.00000000000,31972572.60370000000,82,82,0,82.00000000000,0.00000000000,2208342.00000000000,1,82,26931,2.96800000000,82,26931,2.96800000000,82,82
21NYDECA_WQX-10041102,22,9711.00000000000,11528931.43790000000,82,82,0,82.00000000000,0.00000000000,796302.00000000000,1,82,9711,1.16830000000,82,9711,1.16830000000,82,82
21NYDECA_WQX-10032101,24,1109.00000000000,1316608.48158000000,82,82,0,82.00000000000,0.00000000000,90938.00000000000,1,82,1109,0.91740000000,82,1109,0.91740000000,82,82
21NYDECA_WQX-10031001,25,1903.00000000000,2259247.91745000000,82,82,0,82.00000000000,0.00000000000,156046.00000000000,1,82,1903,0.14410000000,82,1903,0.14410000000,82,82
21NYDECA_WQX-10022300,26,2102.00000000000,2495501.37808000000,82,82,0,82.00000000000,0.00000000000,172364.00000000000,1,82,2102,0.96650000000,82,2102,0.96650000000,82,82
21NYDECA_WQX-10021030,27,475.00000000000,563921.57687300000,82,82,0,82.00000000000,0.00000000000,38950.00000000000,1,82,475,0.27060000000,82,475,0.27060000000,82,82
21NYDECA_WQX-10021028,28,475.00000000000,563921.57687300000,82,82,0,82.00000000000,0.00000000000,38950.00000000000,1,82,475,0.27060000000,82,475,0.27060000000,82,82
21NYDECA_WQX-09065102,30,1476.00000000000,1752312.09993000000,82,82,0,82.00000000000,0.00000000000,121032.00000000000,1,82,1476,3.53700000000,82,1476,3.53700000000,82,82
21NYDECA_WQX-09054107,31,1283.00000000000,1523181.85922000000,82,82,0,82.00000000000,0.00000000000,105206.00000000000,1,82,1283,1.39580000000,82,1283,1.39580000000,82,82
21NYDECA_WQX-09051001,32,90378.00000000000,107297061.63100000000,82,82,0,82.00000000000,0.00000000000,7410996.00000000000,1,82,90378,2.63580000000,82,90378,2.63580000000,82,82
21NYDECA_WQX-09043105,33,2861.00000000000,3396588.69776000000,82,82,0,82.00000000000,0.00000000000,234602.00000000000,1,82,2861,3.63270000000,82,2861,3.63270000000,82,82
21NYDECA_WQX-09031003,36,13925.00000000000,16531806.22730000000,82,82,0,82.00000000000,0.00000000000,1141850.00000000000,1,82,13925,2.42410000000,82,13925,2.42410000000,82,82
21NYDECA_WQX-09022406,37,8169.00000000000,9698263.91890000000,82,82,0,82.00000000000,0.00000000000,669858.00000000000,1,82,8169,9.68050000000,82,8169,9.68050000000,82,82
21NYDECA_WQX-09022303,38,12024.00000000000,14274932.71650000000,82,82,0,82.00000000000,0.00000000000,985968.00000000000,1,82,12024,5.66130000000,82,12024,5.66130000000,82,82
21NYDECA_WQX-09022203,39,1676.00000000000,1989752.76387000000,82,82,0,82.00000000000,0.00000000000,137432.00000000000,1,82,1676,0.34770000000,82,1676,0.34770000000,82,82
21NYDECA_WQX-09021502,40,1490.00000000000,1768932.94640000000,82,82,0,82.00000000000,0.00000000000,122180.00000000000,1,82,1490,1.73610000000,82,1490,1.73610000000,82,82
21NYDECA_WQX-09021102,41,14112.00000000000,16753813.24810000000,82,82,0,82.00000000000,0.00000000000,1157184.00000000000,1,82,14112,4.24670000000,82,14112,4.24670000000,82,82
21NYDECA_WQX-09021009,42,37063.00000000000,44001316.63930000000,82,82,0,82.00000000000,0.00000000000,3039166.00000000000,1,82,37063,2.11450000000,82,37063,2.11450000000,82,82
21NYDECA_WQX-08012201,45,173.00000000000,205386.17431400000,82,82,0,82.00000000000,0.00000000000,14186.00000000000,1,82,173,3.17720000000,82,173,3.17720000000,82,82
21NYDECA_WQX-08011E02,47,12121.00000000000,14390091.43850000000,82,82,0,82.00000000000,0.00000000000,993922.00000000000,1,82,12121,17.03320000000,82,12121,17.03320000000,82,82
21NYDECA_WQX-08011A00,48,4032.00000000000,4786803.78516000000,82,82,0,82.00000000000,0.00000000000,330624.00000000000,1,82,4032,21.77110000000,82,4032,21.77110000000,82,82
21NYDECA_WQX-08011901,49,79.00000000000,93789.06225890000,82,82,0,82.00000000000,0.00000000000,6478.00000000000,1,82,79,0.52110000000,82,79,0.52110000000,82,82
21NYDECA_WQX-08011802,50,8206.00000000000,9742190.44173000000,82,82,0,82.00000000000,0.00000000000,672892.00000000000,1,82,8206,14.26460000000,82,8206,14.26460000000,82,82
21NYDECA_WQX-08011201,53,8146.00000000000,9670958.24255000000,82,82,0,82.00000000000,0.00000000000,667972.00000000000,1,82,8146,1.26800000000,82,8146,1.26800000000,82,82
21NYDECA_WQX-08010090,55,12.00000000000,14246.43983680000,82,82,0,82.00000000000,0.00000000000,984.00000000000,1,82,12,0.00560000000,82,12,0.00560000000,82,82
21NYDECA_WQX-08010001,56,187073.00000000000,222093686.63200000000,82,82,0,82.00000000000,0.00000000000,15339986.00000000000,1,82,187073,6.39680000000,82,187073,6.39680000000,82,82
21NYDECA_WQX-07065100,57,29502.00000000000,35024872.33880000000,82,82,0,82.00000000000,0.00000000000,2419164.00000000000,1,82,29502,46.08610000000,82,29502,46.08610000000,82,82
21NYDECA_WQX-07054100,58,552.00000000000,655336.23249300000,82,82,0,82.00000000000,0.00000000000,45264.00000000000,1,82,552,1.20930000000,82,552,1.20930000000,82,82
21NYDECA_WQX-07053702,59,7198.00000000000,8545489.49544000000,82,82,0,82.00000000000,0.00000000000,590236.00000000000,1,82,7198,26.38080000000,82,7198,26.38080000000,82,82
21NYDECA_WQX-07053603,60,25723.00000000000,30538430.99350000000,82,82,0,82.00000000000,0.00000000000,2109286.00000000000,1,82,25723,20.77150000000,82,25723,20.77150000000,82,82
21NYDECA_WQX-07053301,61,32315.00000000000,38364475.27720000000,82,82,0,82.00000000000,0.00000000000,2649830.00000000000,1,82,32315,11.87270000000,82,32315,11.87270000000,82,82
