HydroID,DrainID,Name,Descript,GlobalWshd,RELATEDOID,WarningMsg,HUCID,Edited,waterID,AverageSam,SampleCoun,Shape_Leng,Shape_Area,sum_Size,Point_Coun
2,2,21NYDECA_WQX-08010001,SS BP v1.3.4,1,,,04150101,0,58.00000000000,0.28897500000,40,824960.15040000000,4932407486.32000000000,20.00000000000,14
2,2,21NYDECA_WQX-07065100,SS BP v1.3.4,1,,,04140201,0,59.00000000000,0.61440000000,10,67900.01330330000,75970627.87080000000,3.00000000000,2
2,2,21NYDECA_WQX-07054100,SS BP v1.3.4,1,,,04140201,0,60.00000000000,0.14010000000,10,96140.01720330000,127380447.63900000000,0.00000000000,0
2,2,21NYDECA_WQX-07053702,SS BP v1.3.4,1,,,04140201,0,61.00000000000,8.19780000000,10,41300.00759940000,32393911.97850000000,0.00000000000,0
2,2,21NYDECA_WQX-07053603,SS BP v1.3.4,1,,,04140201,0,62.00000000000,0.50260000000,10,82380.01549770000,147113354.88400000000,2.00000000000,1
2,2,21NYDECA_WQX-07053301,SS BP v1.3.4,1,,,04140201,0,63.00000000000,0.33400000000,10,191740.03519700000,327787921.96400000000,12.00000000000,7
2,2,21NYDECA_WQX-07047100,SS BP v1.3.4,1,,,04140201,0,64.00000000000,0.31480000000,5,19020.00390100000,7916202.90246000000,0.00000000000,0
2,2,21NYDECA_WQX-07044100,SS BP v1.3.4,1,,,04140201,0,65.00000000000,4.48030000000,10,53500.00980190000,43427615.82880000000,0.00000000000,0
2,2,21NYDECA_WQX-07034701,SS BP v1.3.4,1,,,04140202,0,66.00000000000,1.34400000000,10,46060.00850010000,19976907.24730000000,1.00000000000,1
2,2,21NYDECA_WQX-07034301,SS BP v1.3.4,1,,,04140202,0,67.00000000000,0.91440000000,10,10560.00180100000,3797401.36871000000,0.00000000000,0
2,2,21NYDECA_WQX-07024201,SS BP v1.3.4,1,,,04140201,0,68.00000000000,0.67410000000,10,141620.02529900000,283254004.59200000000,3.00000000000,2
2,2,21NYDECA_WQX-07011023,SS BP v1.3.4,1,,,04140201,0,69.00000000000,0.41244871795,39,40.00000000000,100.00000000000,0.00000000000,0
3,3,21NYDECA_WQX-07010005,SS BP v1.3.4,1,1,,04140203,0,70.00000000000,0.54091250000,40,1593080.29749000000,13182214160.10000000000,144.00000000000,93
2,2,21NYDECA_WQX-06032102,SS BP v1.3.4,1,,,02050103,0,71.00000000000,0.64200000000,6,177500.03319900000,383358943.89300000000,1.00000000000,1
